invoice_id,branch,city,customer_type,gender,product_line,unit_price,date,time,payment,quantity,tax_5_percent,total,cogs,gross_income,gross_margin_percentage,rating
770-42-8960,B,Mandalay,Normal,Male,Food and beverages,21.12,2019-01-01,19:31,Cash,8,8.448,177.408,168.96,8.448,4.7619,6.3
651-88-7328,A,Yangon,Normal,Female,Fashion accessories,65.74,2019-01-01,13:55,Cash,9,29.583,621.243,591.66,29.583,4.7619,7.7
530-90-9855,A,Yangon,Member,Male,Home and lifestyle,47.59,2019-01-01,14:47,Cash,8,19.036,399.756,380.72,19.036,4.7619,5.7
182-52-7000,A,Yangon,Member,Female,Sports and travel,27.04,2019-01-01,20:26,Ewallet,4,5.408,113.568,108.16,5.408,4.7619,6.9
133-14-7229,C,Naypyitaw,Normal,Male,Health and beauty,62.87,2019-01-01,11:43,Cash,2,6.287,132.027,125.74,6.287,4.7619,5.0
416-17-9926,A,Yangon,Member,Female,Electronic accessories,74.22,2019-01-01,14:42,Credit card,10,37.11,779.31,742.2,37.11,4.7619,4.3
556-97-7101,C,Naypyitaw,Normal,Female,Electronic accessories,63.22,2019-01-01,15:51,Cash,2,6.322,132.762,126.44,6.322,4.7619,8.5
746-04-1077,B,Mandalay,Member,Female,Food and beverages,84.63,2019-01-01,11:36,Credit card,10,42.315,888.615,846.3,42.315,4.7619,9.0
493-65-6248,C,Naypyitaw,Member,Female,Sports and travel,36.98,2019-01-01,19:48,Credit card,10,18.49,388.29,369.8,18.49,4.7619,7.0
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,2019-01-01,10:39,Credit card,6,21.783,457.443,435.66,21.783,4.7619,6.9
271-77-8740,C,Naypyitaw,Member,Female,Sports and travel,29.22,2019-01-01,11:40,Ewallet,6,8.766,184.086,175.32,8.766,4.7619,5.0
891-01-7034,B,Mandalay,Normal,Female,Electronic accessories,74.71,2019-01-01,19:07,Cash,6,22.413,470.673,448.26,22.413,4.7619,6.7
