invoice_id,branch,city,customer_type,gender,product_line,unit_price
770-42-8960,B,Mandalay,Normal,Male,Food and beverages,21.12
651-88-7328,A,Yangon,Normal,Female,Fashion accessories,65.74
530-90-9855,A,Yangon,Member,Male,Home and lifestyle,47.59
182-52-7000,A,Yangon,Member,Female,Sports and travel,27.04
133-14-7229,C,Naypyitaw,Normal,Male,Health and beauty,62.87
416-17-9926,A,Yangon,Member,Female,Electronic accessories,74.22
556-97-7101,C,Naypyitaw,Normal,Female,Electronic accessories,63.22
746-04-1077,B,Mandalay,Member,Female,Food and beverages,84.63
493-65-6248,C,Naypyitaw,Member,Female,Sports and travel,36.98
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61
271-77-8740,C,Naypyitaw,Member,Female,Sports and travel,29.22
891-01-7034,B,Mandalay,Normal,Female,Electronic accessories,74.71
744-09-5786,B,Mandalay,Normal,Male,Electronic accessories,22.01
198-84-7132,B,Mandalay,Member,Male,Fashion accessories,40.61
244-08-0162,B,Mandalay,Normal,Female,Health and beauty,34.21
446-47-6729,C,Naypyitaw,Normal,Male,Fashion accessories,99.82
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47
712-39-0363,A,Yangon,Member,Male,Food and beverages,41.66
670-71-7306,B,Mandalay,Normal,Male,Sports and travel,44.63
345-68-9016,C,Naypyitaw,Member,Female,Sports and travel,31.67
749-24-1565,A,Yangon,Normal,Female,Health and beauty,23.03
422-29-8786,A,Yangon,Normal,Female,Home and lifestyle,67.09
249-42-3782,A,Yangon,Normal,Male,Health and beauty,70.01
501-61-1753,B,Mandalay,Normal,Female,Home and lifestyle,63.15
343-87-0864,C,Naypyitaw,Member,Male,Health and beauty,75.88
875-31-8302,B,Mandalay,Normal,Male,Sports and travel,93.38
687-15-1097,C,Naypyitaw,Member,Female,Health and beauty,21.12
552-44-5977,B,Mandalay,Member,Male,Health and beauty,62.0
731-14-2199,A,Yangon,Member,Female,Home and lifestyle,35.54
725-32-9708,B,Mandalay,Member,Female,Fashion accessories,68.71
656-16-1063,B,Mandalay,Normal,Male,Sports and travel,46.42
132-23-6451,A,Yangon,Member,Male,Health and beauty,20.97
279-74-2924,B,Mandalay,Member,Male,Electronic accessories,72.17
672-51-8681,C,Naypyitaw,Member,Female,Electronic accessories,66.65
801-88-0346,C,Naypyitaw,Normal,Female,Fashion accessories,76.06
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69
841-18-8232,B,Mandalay,Normal,Female,Food and beverages,71.2
339-12-4827,B,Mandalay,Member,Female,Fashion accessories,73.96
