invoice_id,quantity,tax_5_percent,total,date,time,payment
770-42-8960,8,8.448,177.408,2019-01-01,2023-02-22 19:31:00,Cash
651-88-7328,9,29.583,621.243,2019-01-01,2023-02-22 13:55:00,Cash
530-90-9855,8,19.036,399.756,2019-01-01,2023-02-22 14:47:00,Cash
182-52-7000,4,5.408,113.568,2019-01-01,2023-02-22 20:26:00,Ewallet
133-14-7229,2,6.287,132.027,2019-01-01,2023-02-22 11:43:00,Cash
416-17-9926,10,37.11,779.31,2019-01-01,2023-02-22 14:42:00,Credit card
556-97-7101,2,6.322,132.762,2019-01-01,2023-02-22 15:51:00,Cash
746-04-1077,10,42.315,888.615,2019-01-01,2023-02-22 11:36:00,Credit card
493-65-6248,10,18.49,388.29,2019-01-01,2023-02-22 19:48:00,Credit card
765-26-6951,6,21.783,457.443,2019-01-01,2023-02-22 10:39:00,Credit card
271-77-8740,6,8.766,184.086,2019-01-01,2023-02-22 11:40:00,Ewallet
891-01-7034,6,22.413,470.673,2019-01-01,2023-02-22 19:07:00,Cash
744-09-5786,6,6.603,138.663,2019-01-02,2023-02-22 18:50:00,Cash
198-84-7132,9,18.2745,383.7645,2019-01-02,2023-02-22 13:40:00,Cash
244-08-0162,10,17.105,359.205,2019-01-02,2023-02-22 13:00:00,Cash
446-47-6729,2,9.982,209.622,2019-01-02,2023-02-22 18:09:00,Credit card
504-35-8843,1,2.1235,44.5935,2019-01-02,2023-02-22 16:57:00,Cash
712-39-0363,6,12.498,262.458,2019-01-02,2023-02-22 15:24:00,Ewallet
670-71-7306,6,13.389,281.169,2019-01-02,2023-02-22 20:08:00,Credit card
345-68-9016,8,12.668,266.028,2019-01-02,2023-02-22 16:19:00,Credit card
749-24-1565,9,10.3635,217.6335,2019-01-03,2023-02-22 12:02:00,Ewallet
422-29-8786,5,16.7725,352.2225,2019-01-03,2023-02-22 16:47:00,Credit card
249-42-3782,5,17.5025,367.5525,2019-01-03,2023-02-22 11:36:00,Ewallet
501-61-1753,6,18.945,397.845,2019-01-03,2023-02-22 20:24:00,Ewallet
343-87-0864,1,3.794,79.674,2019-01-03,2023-02-22 10:30:00,Credit card
875-31-8302,1,4.669,98.049,2019-01-03,2023-02-22 13:07:00,Cash
687-15-1097,2,2.112,44.352,2019-01-03,2023-02-22 19:17:00,Cash
552-44-5977,8,24.8,520.8,2019-01-03,2023-02-22 19:08:00,Credit card
731-14-2199,10,17.77,373.17,2019-01-04,2023-02-22 13:34:00,Ewallet
725-32-9708,4,13.742,288.582,2019-01-04,2023-02-22 19:01:00,Cash
656-16-1063,3,6.963,146.223,2019-01-04,2023-02-22 13:24:00,Credit card
132-23-6451,5,5.2425,110.0925,2019-01-04,2023-02-22 13:21:00,Cash
279-74-2924,1,3.6085,75.7785,2019-01-04,2023-02-22 19:40:00,Cash
672-51-8681,9,29.9925,629.8425,2019-01-04,2023-02-22 18:19:00,Credit card
801-88-0346,3,11.409,239.589,2019-01-05,2023-02-22 20:30:00,Credit card
628-34-3388,6,8.214,172.494,2019-01-05,2023-02-22 20:54:00,Credit card
750-67-8428,7,26.1415,548.9715,2019-01-05,2023-02-22 13:08:00,Ewallet
841-18-8232,1,3.56,74.76,2019-01-05,2023-02-22 20:40:00,Credit card
339-12-4827,1,3.698,77.658,2019-01-05,2023-02-22 11:32:00,Credit card
489-82-1237,7,32.858,690.018,2019-01-05,2023-02-22 11:51:00,Credit card
144-51-6085,4,14.148,297.108,2019-01-05,2023-02-22 16:05:00,Credit card
209-61-0206,5,10.7275,225.2775,2019-01-05,2023-02-22 17:29:00,Ewallet
573-98-8548,1,1.595,33.495,2019-01-05,2023-02-22 12:40:00,Ewallet
843-01-4703,9,15.921,334.341,2019-01-05,2023-02-22 19:50:00,Credit card
217-58-1179,4,12.53,263.13,2019-01-05,2023-02-22 11:25:00,Cash
433-08-7822,7,27.6115,579.8415,2019-01-05,2023-02-22 19:48:00,Ewallet
704-11-6354,8,23.56,494.76,2019-01-06,2023-02-22 11:23:00,Cash
826-58-8051,4,12.438,261.198,2019-01-06,2023-02-22 19:46:00,Ewallet
729-06-2010,9,36.2115,760.4415,2019-01-06,2023-02-22 11:18:00,Cash
393-65-2792,10,44.74,939.54,2019-01-06,2023-02-22 12:46:00,Credit card
490-29-1201,1,0.767,16.107,2019-01-06,2023-02-22 11:09:00,Cash
662-72-2873,5,10.235,214.935,2019-01-06,2023-02-22 13:58:00,Ewallet
834-25-9262,4,16.336,343.056,2019-01-06,2023-02-22 12:12:00,Cash
