invoice_id,cogs,gross_margin_percentage,gross_income,rating
770-42-8960,168.96,4.761904762,8.448,6.3
651-88-7328,591.66,4.761904762,29.583,7.7
530-90-9855,380.72,4.761904762,19.036,5.7
182-52-7000,108.16,4.761904762,5.408,6.9
133-14-7229,125.74,4.761904762,6.287,5.0
416-17-9926,742.2,4.761904762,37.11,4.3
556-97-7101,126.44,4.761904762,6.322,8.5
746-04-1077,846.3,4.761904762,42.315,9.0
493-65-6248,369.8,4.761904762,18.49,7.0
765-26-6951,435.66,4.761904762,21.783,6.9
271-77-8740,175.32,4.761904762,8.766,5.0
891-01-7034,448.26,4.761904762,22.413,6.7
744-09-5786,132.06,4.761904762,6.603,7.6
198-84-7132,365.49,4.761904762,18.2745,7.0
244-08-0162,342.1,4.761904762,17.105,5.1
446-47-6729,199.64,4.761904762,9.982,6.7
504-35-8843,42.47,4.761904762,2.1235,5.7
712-39-0363,249.96,4.761904762,12.498,5.6
670-71-7306,267.78,4.761904762,13.389,5.1
345-68-9016,253.36,4.761904762,12.668,5.6
749-24-1565,207.27,4.761904762,10.3635,7.9
422-29-8786,335.45,4.761904762,16.7725,9.1
249-42-3782,350.05,4.761904762,17.5025,5.5
501-61-1753,378.9,4.761904762,18.945,9.8
343-87-0864,75.88,4.761904762,3.794,7.1
875-31-8302,93.38,4.761904762,4.669,9.6
687-15-1097,42.24,4.761904762,2.112,9.7
552-44-5977,496.0,4.761904762,24.8,6.2
731-14-2199,355.4,4.761904762,17.77,7.0
725-32-9708,274.84,4.761904762,13.742,4.1
656-16-1063,139.26,4.761904762,6.963,4.4
132-23-6451,104.85,4.761904762,5.2425,7.8
279-74-2924,72.17,4.761904762,3.6085,6.1
672-51-8681,599.85,4.761904762,29.9925,9.7
801-88-0346,228.18,4.761904762,11.409,9.8
628-34-3388,164.28,4.761904762,8.214,7.9
750-67-8428,522.83,4.761904762,26.1415,9.1
841-18-8232,71.2,4.761904762,3.56,9.2
339-12-4827,73.96,4.761904762,3.698,5.0
489-82-1237,657.16,4.761904762,32.858,7.3
144-51-6085,282.96,4.761904762,14.148,4.4
209-61-0206,214.55,4.761904762,10.7275,6.1
573-98-8548,31.9,4.761904762,1.595,9.1
843-01-4703,318.42,4.761904762,15.921,9.6
217-58-1179,250.6,4.761904762,12.53,4.2
433-08-7822,552.23,4.761904762,27.6115,7.5
704-11-6354,471.2,4.761904762,23.56,8.9
826-58-8051,248.76,4.761904762,12.438,4.3
729-06-2010,724.23,4.761904762,36.2115,9.2
393-65-2792,894.8,4.761904762,44.74,9.6
490-29-1201,15.34,4.761904762,0.767,6.5
662-72-2873,204.7,4.761904762,10.235,9.9
834-25-9262,326.72,4.761904762,16.336,9.1
846-10-0341,297.99,4.761904762,14.8995,6.8
852-82-2749,258.36,4.761904762,12.918,9.3
232-16-2483,68.12,4.761904762,3.406,6.8
390-31-6381,81.66,4.761904762,4.083,7.3
541-48-8554,548.55,4.761904762,27.4275,6.0
889-04-9723,356.56,4.761904762,17.828,7.8
566-19-5475,335.79,4.761904762,16.7895,6.2
526-86-8552,218.2,4.761904762,10.91,7.1
109-28-2512,585.66,4.761904762,29.283,9.9
126-54-1082,193.86,4.761904762,9.693,8.8
799-71-1548,310.88,4.761904762,15.544,8.8
674-15-9296,185.7,4.761904762,9.285,5.0
192-98-7397,12.78,4.761904762,0.639,9.5
457-13-1708,652.3,4.761904762,32.615,5.2
767-97-4650,129.66,4.761904762,6.483,8.0
663-86-9076,548.32,4.761904762,27.416,8.5
571-94-0759,746.0,4.761904762,37.3,9.5
189-08-9157,285.57,4.761904762,14.2785,5.9
750-57-9686,181.52,4.761904762,9.076,8.7
257-60-7754,200.92,4.761904762,10.046,9.0
490-95-0021,332.1,4.761904762,16.605,6.0
241-96-5076,98.2,4.761904762,4.91,6.4
442-44-6497,166.71,4.761904762,8.3355,5.9
631-34-1880,72.93,4.761904762,3.6465,4.3
124-31-1458,238.77,4.761904762,11.9385,6.6
840-76-5966,25.52,4.761904762,1.276,7.8
387-49-4215,145.5,4.761904762,7.275,6.7
845-94-6841,655.92,4.761904762,32.796,4.0
484-22-8230,363.23,4.761904762,18.1615,4.5
263-10-3913,441.36,4.761904762,22.068,8.6
554-42-2417,954.4,4.761904762,47.72,5.2
343-75-9322,94.8,4.761904762,4.74,4.1
370-96-0655,295.92,4.761904762,14.796,7.1
288-62-1085,192.7,4.761904762,9.635,5.6
189-40-5216,674.59,4.761904762,33.7295,6.0
867-47-1948,158.0,4.761904762,7.9,7.8
305-89-2768,65.7,4.761904762,3.285,4.7
226-34-0034,55.12,4.761904762,2.756,9.0
640-49-2076,670.24,4.761904762,33.512,5.1
665-32-9167,72.52,4.761904762,3.626,7.2
603-07-0961,373.95,4.761904762,18.6975,4.9
577-34-7579,454.41,4.761904762,22.7205,5.4
887-42-0517,581.98,4.761904762,29.099,6.6
744-02-5987,470.28,4.761904762,23.514,5.8
241-11-2261,559.02,4.761904762,27.951,5.5
873-51-0671,153.86,4.761904762,7.693,5.1
540-11-4336,224.46,4.761904762,11.223,5.6
478-06-7835,89.69,4.761904762,4.4845,4.9
592-46-1692,257.39,4.761904762,12.8695,7.4
732-67-5346,68.95,4.761904762,3.4475,7.8
406-46-7107,579.12,4.761904762,28.956,4.5
130-67-4723,291.0,4.761904762,14.55,9.4
289-15-7034,329.32,4.761904762,16.466,7.5
746-68-6593,174.32,4.761904762,8.716,9.7
647-50-1224,294.2,4.761904762,14.71,8.9
659-36-1684,399.84,4.761904762,19.992,6.5
848-07-1692,114.44,4.761904762,5.722,8.3
533-66-5566,357.49,4.761904762,17.8745,7.0
296-11-7041,27.07,4.761904762,1.3535,5.3
751-15-6198,138.06,4.761904762,6.903,7.9
381-20-0914,180.09,4.761904762,9.0045,5.7
704-48-3927,886.7,4.761904762,44.335,7.3
852-62-7105,832.5,4.761904762,41.625,4.4
751-41-9720,975.0,4.761904762,48.75,8.0
197-77-7132,732.48,4.761904762,36.624,6.0
397-25-8725,356.58,4.761904762,17.829,6.8
460-93-5834,319.06,4.761904762,15.953,5.0
327-40-9673,435.6,4.761904762,21.78,6.9
195-06-0432,243.03,4.761904762,12.1515,9.3
732-94-0499,416.5,4.761904762,20.825,5.4
339-38-9982,119.72,4.761904762,5.986,6.7
784-08-0310,84.16,4.761904762,4.208,7.6
355-34-6244,144.78,4.761904762,7.239,8.1
556-86-3144,74.29,4.761904762,3.7145,5.0
459-50-7686,140.76,4.761904762,7.038,6.4
451-73-2711,84.83,4.761904762,4.2415,8.8
588-47-8641,560.4,4.761904762,28.02,4.4
426-39-2418,429.87,4.761904762,21.4935,9.8
320-85-2052,34.81,4.761904762,1.7405,7.0
868-52-7573,498.45,4.761904762,24.9225,9.9
785-13-7708,511.42,4.761904762,25.571,4.2
559-61-5987,17.75,4.761904762,0.8875,8.6
592-34-6155,127.08,4.761904762,6.354,6.2
667-23-5919,483.5,4.761904762,24.175,7.0
704-10-4056,181.41,4.761904762,9.0705,5.6
359-90-3665,72.32,4.761904762,3.616,9.5
377-79-7592,403.56,4.761904762,20.178,7.5
658-66-3967,372.33,4.761904762,18.6165,5.0
314-23-4520,568.61,4.761904762,28.4305,9.0
744-16-7898,973.7,4.761904762,48.685,4.9
301-11-9629,133.7,4.761904762,6.685,9.7
437-58-8131,147.04,4.761904762,7.352,4.6
369-82-2676,378.3,4.761904762,18.915,7.8
299-46-1805,562.32,4.761904762,28.116,4.5
272-65-1806,547.92,4.761904762,27.396,4.7
138-17-5109,802.89,4.761904762,40.1445,6.5
188-55-0967,664.7,4.761904762,33.235,5.0
886-54-6089,68.58,4.761904762,3.429,7.7
